Left Min,Right Min,Left Max,Right Max,Left Mean,Right Mean
107,105,121,113,112.791666667,108.375
112,106,122,118,116.416666667,108.833333333
109,107,120,117,113.958333333,109.833333333
106,107,119,122,110.833333333,111.625
105,109,115,124,109.208333333,114.208333333
103,109,111,125,107,115.5
102,109,111,121,106.833333333,115.125
103,109,109,121,105.916666667,113.541666667
104,105,111,119,107.041666667,111.875
103,104,109,117,106.541666667,109.458333333
105,104,111,114,107.25,108.375
103,104,109,111,105.583333333,107.083333333
104,105,110,109,106.75,107.458333333
104,106,108,110,105.708333333,107.75
104,105,109,110,106.5,107.875
103,105,108,110,106,107.625
103,106,110,110,106.75,108.625
104,106,109,110,106.25,107.666666667
103,106,109,111,106.083333333,108.208333333
103,106,113,109,106.291666667,107.708333333
103,106,109,111,106.291666667,108.208333333
104,105,110,110,106.541666667,107.541666667
105,106,110,110,107.25,108.291666667
105,106,109,110,106.666666667,107.833333333
105,105,109,110,106.666666667,107.416666667
102,107,110,111,106.041666667,108.625
104,105,110,110,106.583333333,107.166666667
105,106,111,111,107.375,108.291666667
104,106,110,111,106.791666667,108.291666667
105,105,111,109,107,107.041666667
105,107,112,110,106.958333333,108.5
104,104,110,110,105.75,107.208333333
104,105,111,110,106.791666667,107.416666667
105,106,111,110,106.791666667,108.125
104,106,110,111,106.375,108.125
104,106,111,110,107.083333333,107.916666667
104,106,111,111,107.208333333,108.416666667
103,105,111,111,106.583333333,108.125
103,104,110,110,106.791666667,107.125
105,107,111,111,107.166666667,108.75
104,106,109,112,106.166666667,107.791666667
104,106,110,110,106.583333333,107.416666667
104,106,110,110,107.125,108.208333333
104,106,110,111,106.666666667,108.166666667
105,105,111,108,107.166666667,106.958333333
104,106,109,112,106.625,108.041666667
103,105,109,110,106.083333333,107.791666667
104,105,109,109,106.75,107.25
104,107,110,111,107.041666667,108.458333333
103,105,108,110,105.75,107.625
103,105,109,111,106.708333333,107.666666667
103,105,110,110,107,108.083333333
105,106,109,110,106.333333333,108.083333333
105,106,109,110,106.666666667,107.583333333
105,106,111,111,107.333333333,108.291666667
104,106,112,110,106.666666667,108.25
103,105,111,109,106.541666667,107.458333333
104,105,110,110,106.833333333,107.458333333
103,105,111,110,106.708333333,108.333333333
105,106,110,110,106.875,108
104,105,110,111,107.375,108.5
104,105,111,111,106.5,107.666666667
104,105,109,110,106.916666667,107.458333333
105,106,111,112,107.291666667,108.166666667
103,106,110,110,106.458333333,107.708333333
104,105,109,110,106.291666667,107.041666667
104,106,111,110,107.166666667,107.875
104,105,111,110,106.875,107.916666667
105,106,110,110,106.5,107.375
104,105,110,110,106.958333333,107.583333333
105,106,110,112,107,108.291666667
102,105,110,110,107.041666667,107.75
105,106,111,110,107.708333333,108.083333333
103,105,108,110,105.583333333,107.708333333
103,105,111,110,107.166666667,107.375
105,107,110,112,107.708333333,108.791666667
105,106,110,111,107.333333333,108.291666667
105,106,111,110,107.125,107.666666667
104,107,112,111,107.166666667,109.166666667
104,105,110,111,106.541666667,108.041666667
105,106,113,109,107.458333333,108
104,106,112,110,107.5,108.208333333
104,105,109,111,106.333333333,108
104,107,110,111,106.916666667,108.666666667
103,106,112,112,107.875,109
105,107,112,114,107.75,109.166666667
104,107,111,123,107.541666667,114.208333333
105,112,110,122,107.958333333,117.25
105,112,111,122,108.25,117.708333333
107,109,115,121,109.416666667,115.958333333
108,109,116,122,110.208333333,112.083333333
106,108,119,114,111.333333333,110.166666667
106,107,122,111,113.333333333,108.666666667
107,107,120,110,114.875,108.958333333
106,105,120,110,114.041666667,108.166666667
106,105,120,112,113.916666667,108
106,107,119,111,111.75,108.5
105,106,117,111,110.333333333,108.291666667
105,105,118,110,109.875,108.041666667
104,106,116,112,109.75,108.208333333
104,106,114,112,108.166666667,108.625
104,105,117,109,108.291666667,107.416666667
106,106,114,112,108.75,108.291666667
104,107,111,111,106.875,108.208333333
103,105,110,111,106.708333333,107.25
105,105,111,110,107.833333333,107.791666667
104,105,109,110,106.458333333,107.666666667
104,105,112,110,107.541666667,107.166666667
104,104,110,110,107.041666667,107.291666667
105,105,110,110,107,107.666666667
105,105,111,109,107.833333333,106.875
106,105,111,110,108.166666667,107.791666667
104,104,110,110,106.958333333,106.958333333
104,106,110,110,107.25,107.916666667
105,107,111,111,107.375,108.25
105,105,111,111,107.041666667,107.916666667
104,105,111,109,107.333333333,107.125
104,105,111,110,107.875,108.208333333
